PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
Batter,RUNS,Balls,SR,Vs,4s,6s
Rohit,Sharma,264,173,153,Sri,Lanka,33,9
Virender,Sehwag,219,149,147,West,Indies,25,7
Ishan,Kishan,210,131,160,Bangladesh,24,10
Rohit,Sharma,209,158,132,Australia,12,16
Shubman,Gill,208,149,140,New,Zealand,19,9
Rohit,Sharma,208,153,136,Sri,Lanka,13,12
Sachin,Tendulkar,200,147,136,South,Africa,25,3
Sachin,Tendulkar,186,150,124,New,Zealand,20,3
MS,Dhoni,183,145,126,Sri,Lanka,15,10
Virat,Kohli,183,148,124,Pakistan,22,2
Sourav,Ganguly,183,158,116,Sri,Lanka,17,7
Kapil,Dev,175,138,127,Zimbabwe,16,6
Virender,Sehwag,175,140,125,Bangladesh,14,5
Sachin,Tendulkar,175,141,124,Australia,19,4
Rohit,Sharma,171,163,105,Australia,13,7
Virat,Kohli,166,110,151,Sri,Lanka,13,8
Sachin,Tendulkar,163,133,123,New,Zealand,16,5
Rohit,Sharma,162,137,118,West,Indies,20,4
Virat,Kohli,160,159,101,South,Africa,12,2
Rohit,Sharma,159,138,115,West,Indies,17,5
Dinesh,Mongia,159,147,108,Zimbabwe,17,1
Virat,Kohli,157,129,122,West,Indies,13,4
Virat,Kohli,154,134,115,New,Zealand,16,1
Sourav,Ganguly,153,150,102,New,Zealand,18,3
Mohammad,Azharuddin,153,150,102,Zimbabwe,17,1
Rahul,Dravid,153,153,100,New,Zealand,15,2
Rohit,Sharma,152,117,130,West,Indies,15,8
Sachin,Tendulkar,152,151,101,Namibia,18,0
Yuvraj,Singh,150,127,118,England,21,3
Rohit,Sharma,150,133,113,South,Africa,13,6
Gautam,Gambhir,150,137,109,Sri,Lanka,14,0
Gautam,Gambhir,150,147,102,Sri,Lanka,14,1
MS,Dhoni,148,123,120,Pakistan,15,4
Rohit,Sharma,147,138,107,New,Zealand,18,2
Virender,Sehwag,146,102,143,Sri,Lanka,17,6
Sachin,Tendulkar,146,132,111,Kenya,17,0
Sachin,Tendulkar,146,153,95,Zimbabwe,15,2
Rahul,Dravid,145,129,112,Sri,Lanka,17,1
Sourav,Ganguly,144,152,95,Zimbabwe,8,6
Shikhar,Dhawan,143,115,124,Australia,18,3
Sachin,Tendulkar,143,131,109,Australia,9,5
Rohit,Sharma,141,123,115,Australia,17,4
Sachin,Tendulkar,141,128,110,Australia,13,3
Sachin,Tendulkar,141,135,104,Pakistan,17,1
Sourav,Ganguly,141,142,99,South,Africa,11,6
Sourav,Ganguly,141,144,98,Pakistan,12,1
Sachin,Tendulkar,141,148,95,West,Indies,13,5
Sachin,Tendulkar,140,101,139,Kenya,16,3
Virat,Kohli,140,107,131,West,Indies,21,2
Rohit,Sharma,140,113,124,Pakistan,14,3
MS,Dhoni,139,121,115,Australia,12,5
Yuvraj,Singh,139,122,114,Australia,16,2
Sachin,Tendulkar,139,125,111,Australia,19,0
Virat,Kohli,139,126,110,Sri,Lanka,12,3
Sourav,Ganguly,139,147,95,Zimbabwe,11,5
Yuvraj,Singh,138,78,177,England,16,6
Gautam,Gambhir,138,116,119,New,Zealand,18,0
Sachin,Tendulkar,138,133,104,Sri,Lanka,10,1
Rohit,Sharma,138,139,99,Australia,9,4
Virat,Kohli,138,140,99,South,Africa,6,5
Rohit,Sharma,137,114,120,England,15,4
Rohit,Sharma,137,126,109,Bangladesh,14,3
Sachin,Tendulkar,137,137,100,Sri,Lanka,8,5
Shikhar,Dhawan,137,146,94,South,Africa,16,2
Virat,Kohli,136,122,111,Bangladesh,16,2
Sourav,Ganguly,135,124,109,Bangladesh,6,7
MS,Dhoni,134,122,110,England,10,6
Sachin,Tendulkar,134,131,102,Australia,12,3
Navjot,Sidhu,134,160,84,England,15,0
Virat,Kohli,133,86,155,Sri,Lanka,16,2
Rohit,Sharma,133,129,103,Australia,10,6
Shikhar,Dhawan,132,90,147,Sri,Lanka,20,3
Rohit,Sharma,131,84,156,Afghanistan,16,5
Virat,Kohli,131,96,136,Sri,Lanka,17,2
Yuvraj,Singh,131,102,128,West,Indies,10,7
VVS,Laxman,131,138,95,Zimbabwe,13,1
Shubman,Gill,130,97,134,Zimbabwe,15,1
Virender,Sehwag,130,134,97,New,Zealand,15,2
Sourav,Ganguly,130,160,81,Sri,Lanka,5,2
Virat,Kohli,129,96,134,South,Africa,19,2
Shreyas,Iyer,128,94,136,Netherlands,10,5
Virat,Kohli,128,119,108,Sri,Lanka,12,1
Sachin,Tendulkar,128,131,98,Sri,Lanka,8,2
Virat,Kohli,127,114,111,West,Indies,13,3
Shikhar,Dhawan,127,120,106,Hong,Kong,15,2
Sourav,Ganguly,127,126,101,South,Africa,14,5
Sachin,Tendulkar,127,130,98,Zimbabwe,13,1
Sachin,Tendulkar,127,138,92,Kenya,15,1
Virender,Sehwag,126,104,121,England,21,1
Shikhar,Dhawan,126,113,112,Australia,14,2
Gautam,Gambhir,126,117,108,New,Zealand,16,0
Virender,Sehwag,125,74,169,New,Zealand,14,6
Rohit,Sharma,125,109,115,Australia,11,5
Rishabh,Pant,125,113,111,England,16,2
Shikhar,Dhawan,125,128,98,Sri,Lanka,15,1
Sachin,Tendulkar,124,92,135,Zimbabwe,12,6
MS,Dhoni,124,107,116,Australia,9,3
Rohit,Sharma,124,127,98,Australia,11,3
Ambati,Rayudu,124,133,93,Zimbabwe,12,1
Sourav,Ganguly,124,138,90,Pakistan,11,1
