PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
Batter,RUNS,Balls,SR,Vs,4s,6s
Shubman,Gill,126,63,200,New,Zealand,12,7
Ruturaj,Gaikwad,123,57,216,Australia,13,7
Virat,Kohli,122,61,200,Afghanistan,12,6
Rohit,Sharma,121,69,175,Afghanistan,11,8
Rohit,Sharma,118,43,274,Sri,Lanka,12,10
Suryakumar,Yadav,117,55,213,England,14,6
Suryakumar,Yadav,112,51,220,Sri,Lanka,7,9
Suryakumar,Yadav,111,51,218,New,Zealand,11,7
Rohit,Sharma,111,61,182,West,Indies,8,7
KL,Rahul,110,51,216,West,Indies,12,5
Rohit,Sharma,106,66,161,South,Africa,12,5
Deepak,Hooda,104,57,182,Ireland,9,6
KL,Rahul,101,54,187,England,10,5
Suresh,Raina,101,60,168,South,Africa,9,5
Abhishek,Sharma,100,47,213,Zimbabwe,7,8
Yashasvi,Jaiswal,100,49,204,Nepal,8,7
Suryakumar,Yadav,100,56,179,South,Africa,7,8
Rohit,Sharma,100,56,179,England,11,5
Rohit,Sharma,97,61,159,Ireland,8,5
Virat,Kohli,94,50,188,West,Indies,6,6
Yashasvi,Jaiswal,93,53,175,Zimbabwe,13,2
Rohit,Sharma,92,41,224,Australia,7,8
Shikhar,Dhawan,92,62,148,West,Indies,10,2
KL,Rahul,91,56,163,West,Indies,9,4
Shikhar,Dhawan,90,49,184,Sri,Lanka,6,6
Virat,Kohli,90,55,164,Australia,9,2
Virat,Kohli,89,47,189,West,Indies,11,1
KL,Rahul,89,49,182,Sri,Lanka,5,8
Ishan,Kishan,89,56,159,Sri,Lanka,10,3
Rohit,Sharma,89,61,146,Bangladesh,5,5
Rohit,Sharma,85,43,198,Bangladesh,6,6
Virat,Kohli,85,61,139,Australia,4,3
Yashasvi,Jaiswal,84,51,165,West,Indies,11,3
Suryakumar,Yadav,83,44,189,West,Indies,10,4
Rohit,Sharma,83,55,151,Bangladesh,7,3
Virat,Kohli,82,51,161,Australia,9,2
Virat,Kohli,82,53,155,Pakistan,6,4
Virat,Kohli,82,54,152,Sri,Lanka,7,1
Suryakumar,Yadav,80,42,190,Australia,9,4
Virat,Kohli,80,52,154,England,7,2
Shikhar,Dhawan,80,52,154,New,Zealand,10,2
Rohit,Sharma,80,55,145,New,Zealand,6,4
Rohit,Sharma,79,46,172,Australia,4,6
Manish,Pandey,79,48,165,South,Africa,6,3
Virat,Kohli,78,61,128,Pakistan,8,2
Yuvraj,Singh,77,35,220,Australia,8,5
Sanju,Samson,77,42,183,Ireland,9,4
Virat,Kohli,77,46,167,England,8,4
Shubman,Gill,77,47,164,West,Indies,3,5
Ruturaj,Gaikwad,77,47,164,Zimbabwe,11,1
Virat,Kohli,77,58,133,Sri,Lanka,5,4
Shikhar,Dhawan,76,42,181,Australia,10,2
Suryakumar,Yadav,76,44,173,West,Indies,8,4
Ishan,Kishan,76,48,158,South,Africa,11,3
Virat,Kohli,76,59,129,South,Africa,6,2
Gautam,Gambhir,75,54,139,Pakistan,8,2
Shreyas,Iyer,74,44,168,Sri,Lanka,6,4
Shikhar,Dhawan,74,45,164,Ireland,5,5
Rohit,Sharma,74,47,157,Afghanistan,8,3
Shreyas,Iyer,73,45,162,Sri,Lanka,9,1
Virat,Kohli,73,49,149,England,5,3
Yuvraj,Singh,72,36,200,Pakistan,4,7
Virat,Kohli,72,38,189,Australia,2,6
Shikhar,Dhawan,72,39,185,South,Africa,10,2
Rohit,Sharma,72,41,176,Sri,Lanka,5,4
Virat,Kohli,72,44,164,South,Africa,5,2
Suresh,Raina,72,44,164,Zimbabwe,6,2
Virat,Kohli,72,52,138,South,Africa,4,3
Hardik,Pandya,71,30,237,Australia,7,5
Rohit,Sharma,71,34,209,West,Indies,6,5
KL,Rahul,71,47,151,England,6,2
Virat,Kohli,70,29,241,West,Indies,4,7
Yuvraj,Singh,70,30,233,Australia,5,5
KL,Rahul,70,36,194,Ireland,3,6
Virat,Kohli,70,41,171,New,Zealand,10,1
Suryakumar,Yadav,69,36,192,Australia,5,5
Rinku,Singh,69,39,177,Afghanistan,2,6
Suresh,Raina,69,45,153,Ireland,5,3
KL,Rahul,69,48,144,Afghanistan,6,2
Suryakumar,Yadav,68,26,262,Hong,Kong,6,6
Yashasvi,Jaiswal,68,34,200,Afghanistan,5,6
Rinku,Singh,68,39,174,South,Africa,9,2
Suryakumar,Yadav,68,40,170,South,Africa,6,3
Virat,Kohli,68,48,142,Sri,Lanka,11,1
Virender,Sehwag,68,52,131,England,4,3
Yuvraj,Singh,67,43,156,West,Indies,6,2
Shreyas,Iyer,67,48,140,England,8,1
Rohit,Sharma,67,51,131,West,Indies,6,3
Virat,Kohli,66,41,161,England,9,1
Shubman,Gill,66,49,135,Zimbabwe,7,3
Suryakumar,Yadav,65,31,210,West,Indies,1,7
Axar,Patel,65,31,210,Sri,Lanka,3,6
Rohit,Sharma,65,40,163,New,Zealand,6,3
Virat,Kohli,65,42,155,New,Zealand,8,1
Rishabh,Pant,65,42,155,West,Indies,4,4
KL,Rahul,65,49,133,New,Zealand,6,2
Rohit,Sharma,64,34,188,England,4,5
Virender,Sehwag,64,36,178,Sri,Lanka,7,3
Shreyas,Iyer,64,40,160,West,Indies,8,2
Virat,Kohli,64,44,145,Bangladesh,8,1
