PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
Batter,MATCHES,INNS,RUNS,90s
Rohit,Sharma,159,151,"4,231",2
Virat,Kohli,125,117,"4,188",2
Shikhar,Dhawan,68,66,"1,759",2
KL,Rahul,72,68,"2,265",1
Yashasvi,Jaiswal,23,22,723,1
