,link,title,price,previous_month_bought_count,card_offer,review_rating,delivery_detail
414,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODQzNjAwNzM5ODM2MzU6MTcyODEzOTYzODpzcF9tdGY6MzAwMzQ2ODUyNzY3MjMyOjowOjo&url=%2FAllen-Solly-Chino-Skinny-ALDNVSKF586306_Navy_32%2Fdp%2FB099NN4YQJ%2Fref%3Dsr_1_1061_sspa%3Fcrid%3D24IEEX0MBW072%26keywords%3Djeans%26qid%3D1728139638%26sprefix%3Djeans%252Caps%252C212%26sr%3D8-1061-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Allen Solly,"₹999₹999 M.R.P: ₹1,999₹1,999 (50% off)",M.R.P: ,Allen Solly,"3.5 out of 5 stars 1,050  ",FREE Delivery by Amazon
415,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODQzNjAwNzM5ODM2MzU6MTcyODEzOTYzODpzcF9tdGY6MzAwMjAzOTQ3NzUyNjMyOjowOjo&url=%2FAllen-Solly-Skinny-Jeans-ALDNVSKFT93425_Black_34%2Fdp%2FB09F72CDLV%2Fref%3Dsr_1_1062_sspa%3Fcrid%3D24IEEX0MBW072%26keywords%3Djeans%26qid%3D1728139638%26sprefix%3Djeans%252Caps%252C212%26sr%3D8-1062-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Allen Solly,"₹879₹879 M.R.P: ₹2,199₹2,199 (60% off)",50+ bought in past month,Allen Solly,3.5 out of 5 stars 395  , FREE Delivery by Amazon
416,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODQzNjAwNzM5ODM2MzU6MTcyODEzOTYzODpzcF9tdGY6MzAwMjAwNzUxOTI4ODMyOjowOjo&url=%2FPepe-Jeans-Mens-Relaxed-PM207941Q05900030_Blue%2Fdp%2FB0CW9MH7JH%2Fref%3Dsr_1_1063_sspa%3Fcrid%3D24IEEX0MBW072%26keywords%3Djeans%26qid%3D1728139638%26sprefix%3Djeans%252Caps%252C212%26sr%3D8-1063-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Pepe Jeans,"₹1,049₹1,049 M.R.P: ₹3,799₹3,799 (72% off)",M.R.P: ,Pepe Jeans,4.5 out of 5 stars 2  , FREE Delivery by Amazon
417,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODQzNjAwNzM5ODM2MzU6MTcyODEzOTYzODpzcF9tdGY6MzAwMTQ3NDU1MjI4NzMyOjowOjo&url=%2FPepe-Jeans-Mens-PM206832S64_Green-Used_32%2Fdp%2FB0B7B4SJPX%2Fref%3Dsr_1_1064_sspa%3Fcrid%3D24IEEX0MBW072%26keywords%3Djeans%26qid%3D1728139638%26sprefix%3Djeans%252Caps%252C212%26sr%3D8-1064-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Pepe Jeans,"₹1,299₹1,299 M.R.P: ₹3,799₹3,799 (66% off)",M.R.P: ,Pepe Jeans,3.2 out of 5 stars 3  , FREE Delivery by Amazon
418,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODQzNjAwNzM5ODM2MzU6MTcyODEzOTYzODpzcF9idGY6MzAwMjU5MTM4NzYxNjMyOjowOjo&url=%2FLevis-Mens-Tapered-Jeans-A7086-0094_Blue_%2Fdp%2FB0C6QV8287%2Fref%3Dsr_1_1065_sspa%3Fcrid%3D24IEEX0MBW072%26keywords%3Djeans%26qid%3D1728139638%26sprefix%3Djeans%252Caps%252C212%26sr%3D8-1065-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Levi's,"₹1,293₹1,293 M.R.P: ₹3,199₹3,199 (60% off)",M.R.P: ,Levi's,3.9 out of 5 stars 615  , FREE Delivery by Amazon
419,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODQzNjAwNzM5ODM2MzU6MTcyODEzOTYzODpzcF9idGY6MzAwMzQ1MzA1NDAxNjMyOjowOjo&url=%2FNeoStreak-Mens-Regular-Jeans-neoepsreg_Grey%2Fdp%2FB0D2CC5PMP%2Fref%3Dsr_1_1066_sspa%3Fcrid%3D24IEEX0MBW072%26keywords%3Djeans%26qid%3D1728139638%26sprefix%3Djeans%252Caps%252C212%26sr%3D8-1066-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Neostreak,"₹629₹629 M.R.P: ₹2,199₹2,199 (71% off)",M.R.P: ,Neostreak,3.6 out of 5 stars 34  , FREE Delivery by Amazon
420,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODQzNjAwNzM5ODM2MzU6MTcyODEzOTYzODpzcF9idGY6MzAwMTQ3NDU1MjIxNzMyOjowOjo&url=%2FPepe-Jeans-Mens-Slim-PM207137Q073_Grey%2Fdp%2FB0BT7RZWWD%2Fref%3Dsr_1_1067_sspa%3Fcrid%3D24IEEX0MBW072%26keywords%3Djeans%26qid%3D1728139638%26sprefix%3Djeans%252Caps%252C212%26sr%3D8-1067-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Pepe Jeans,"₹2,399₹2,399 M.R.P: ₹5,999₹5,999 (60% off)",M.R.P: ,Pepe Jeans,4.2 out of 5 stars 5  , FREE Delivery by Amazon
421,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODQzNjAwNzM5ODM2MzU6MTcyODEzOTYzODpzcF9idGY6MzAwMjQ3NjUzMzgzMzMyOjowOjo&url=%2FPepe-Jeans-Skinny-PM206614G228_MID-WASH_38%2Fdp%2FB09Q6CFWTN%2Fref%3Dsr_1_1068_sspa%3Fcrid%3D24IEEX0MBW072%26keywords%3Djeans%26qid%3D1728139638%26sprefix%3Djeans%252Caps%252C212%26sr%3D8-1068-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Pepe Jeans,"₹1,569₹1,569 M.R.P: ₹3,799₹3,799 (59% off)",M.R.P: ,Pepe Jeans,4.0 out of 5 stars 2  , FREE Delivery by Amazon
422,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTExMDc5NDA5MjIxMDk1OjE3MjgxMzk2NDI6c3BfYXRmX25leHQ6MzAwMTU5MzM0MTc1MDMyOjowOjo&url=%2FLevis-Mens-Slim-Jeans-A7087-0078_Blue%2Fdp%2FB0C6QV3JTZ%2Fref%3Dsr_1_1105_sspa%3Fcrid%3D24IEEX0MBW072%26keywords%3Djeans%26qid%3D1728139642%26sprefix%3Djeans%252Caps%252C212%26sr%3D8-1105-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Levi's,"₹1,349₹1,349 M.R.P: ₹2,999₹2,999 (55% off)",50+ bought in past month,Levi's,"3.9 out of 5 stars 1,275  ", FREE Delivery by Amazon
423,https://www.amazon.in/Amazon-Brand-Tapered-ST-100_MEDIUM-BLUE_38W/dp/B07HZR4V3F/ref=sr_1_7?crid=24IEEX0MBW072&dib=eyJ2IjoiMSJ9.loW9tDrkb73dvNPalTNrmPld8m7huH6cF5g_YkNmEAm9qODA-taMg5ibmmJXAdn3w18_Ama_S4836s1iM1YtBIdpk_a88sovlz0jYKb8UgeyxfvDd1yNA7BrvReQL8dHeTsmBCUr4vG9wTfYE_IXjcEtx4Z9Yg_WV3zVa7cZhyV3SPxEo2p1Htxigkn7RWNyKzINhtwKuJdv5R3jaMrGucUaA8BClw9zNNqjHAMpciugupuFm20Jj8eOG6lU42dRYTXf80v8ApAF0EChkl1-KMQjfTn99KKJ17d9OvtZONs.gM2UxYQACutxLYDMZ0XW9AekUQGSbRmRfPruooS2c3Q&dib_tag=se&keywords=jeans&qid=1728139528&sprefix=jeans%2Caps%2C212&sr=8-7,Amazon Brand - INKAST,"₹399₹399 M.R.P: ₹2,799₹2,799 (86% off)",100+ bought in past month,Amazon Brand - INKAST,"3.6 out of 5 stars 5,211  ",FREE Delivery by Amazon
