,link,title,specification,rating_review,price,test_offer,off_percentage
10,https://www.flipkart.com/acer-swift-go-14-amd-ryzen-7-octa-core-7730u-16-gb-512-gb-ssd-windows-11-home-sfg14-41-thin-light-laptop/p/itm8c24ada29d398?pid=COMH3GFNZZGQTAEW&lid=LSTCOMH3GFNZZGQTAEWMUOVHC&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_102&otracker=search&otracker1=search&fm=Search&iid=e4bab1fd-a4cf-483d-979d-887a2829eb48.COMH3GFNZZGQTAEW.SEARCH&ppt=sp&ppn=sp&ssid=5ky88ctz280000001728058150343&qH=312f91285e048e09,Acer Swift Go 14 AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) SFG14-41 Thin and Li...,AMD Ryzen 7 Octa Core Processor16 GB LPDDR4X RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Carry-in Warranty,4.461 Ratings & 4 Reviews,"₹44,990₹81,99945% off",Top Discount of the Sale,45% off
11,https://www.flipkart.com/chuwi-intel-celeron-dual-core-11th-gen-n4020-8-gb-256-gb-ssd-windows-11-home-herobook-pro-laptop/p/itm5e1f327988402?pid=COMGQHMZWHRXFWET&lid=LSTCOMGQHMZWHRXFWETVNWSPG&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_12&otracker=search&otracker1=search&iid=en_YYvEaBd8vEWnev-I4fx-fZP0E1_eQaXIqtNS4XFkoSoAR7etsAMxcC4SPbhu33j4kEKTPe9nWrSQsDN_4wjL-Q%3D%3D&ssid=ufarnn4yrk0000001728058141729&qH=312f91285e048e09,CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD StorageHard-Decoding 4k@60Hz
Graphics/GPU: UHD Graphics 600
Display: 14.1 inch, 16:9 IPS Display
Touchpad: Larger Touchpad with easy control
Keyboard: Chiclet keyboard keysIntel Celeron Dual Core Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.81 cm (14.1 inch) DisplayWPS Office, Operating System Software1 Year Onsite Warranty",3.7794 Ratings & 91 Reviews,"₹15,990₹34,99054% off",Top Discount of the Sale,54% off
12,https://www.flipkart.com/hp-victus-intel-core-i5-12th-gen-12450h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-15-fa1226tx-gaming-laptop/p/itma50f4630abc9a?pid=COMHY8KVEKZVERUA&lid=LSTCOMHY8KVEKZVERUADILR5M&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_103&otracker=search&otracker1=search&fm=Search&iid=e4bab1fd-a4cf-483d-979d-887a2829eb48.COMHY8KVEKZVERUA.SEARCH&ppt=sp&ppn=sp&ssid=5ky88ctz280000001728058150343&qH=312f91285e048e09,HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,Intel Core i5 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty,"4.41,271 Ratings & 59 Reviews","₹52,990₹72,71827% off",Top Discount of the Sale,27% off
13,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-n4500-8-gb-512-gb-ssd-windows-11-home-a324-45-thin-light-laptop/p/itmbbfe217e40d59?pid=COMHFZYZFVD2MCAB&lid=LSTCOMHFZYZFVD2MCABTLQNKG&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_104&otracker=search&otracker1=search&fm=Search&iid=e4bab1fd-a4cf-483d-979d-887a2829eb48.COMHFZYZFVD2MCAB.SEARCH&ppt=sp&ppn=sp&ssid=5ky88ctz280000001728058150343&qH=312f91285e048e09,Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A324-45 Thin and Light...,Intel Celeron Dual Core Processor8 GB LPDDR4X RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Carry-in Warranty,3.9526 Ratings & 36 Reviews,"₹19,990₹32,99939% off",Top Discount of the Sale,39% off
14,https://www.flipkart.com/asus-vivobook-s14-oled-intel-evo-h-series-core-i5-12th-gen-12500h-16-gb-512-gb-ssd-windows-11-home-s3402za-km501ws-thin-light-laptop/p/itm635eb6df61d1c?pid=COMGCG2GXUAAMYJF&lid=LSTCOMGCG2GXUAAMYJFOJKKYY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_105&otracker=search&otracker1=search&fm=Search&iid=e4bab1fd-a4cf-483d-979d-887a2829eb48.COMGCG2GXUAAMYJF.SEARCH&ppt=sp&ppn=sp&ssid=5ky88ctz280000001728058150343&qH=312f91285e048e09,ASUS Vivobook S14 OLED Intel EVO H-Series Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11...,Intel Core i5 Processor (12th Gen)16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty,"4.44,332 Ratings & 421 Reviews","₹61,990₹98,99037% off",Top Discount of the Sale,37% off
15,https://www.flipkart.com/hp-laptop-intel-core-i3-12th-gen-1215u-8-gb-256-gb-ssd-windows-11-home-15s-fy5010tu-thin-light/p/itm629a59dce098d?pid=COMHF6WAYQWPTFRS&lid=LSTCOMHF6WAYQWPTFRSK8OU9L&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_106&otracker=search&otracker1=search&fm=Search&iid=e4bab1fd-a4cf-483d-979d-887a2829eb48.COMHF6WAYQWPTFRS.SEARCH&ppt=sp&ppn=sp&ssid=5ky88ctz280000001728058150343&qH=312f91285e048e09,HP Laptop Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) 15s-fy5010TU Thin and Light...,Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Home Operating System256 GB SSD100.58 cm (39.6 cm) Display1 Year Carry-in Warranty,"4.34,540 Ratings & 283 Reviews","₹31,990₹46,70931% off",Top Discount of the Sale,31% off
16,https://www.flipkart.com/microsoft-laptop-go-3-intel-core-i5-12th-gen-1235u-8-gb-256-gb-ssd-windows-11-home-xk1-00045-thin-light/p/itm8dd9341c2130d?pid=COMGUSPBNYYPCQKX&lid=LSTCOMGUSPBNYYPCQKXGAWJ22&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_107&otracker=search&otracker1=search&fm=Search&iid=e4bab1fd-a4cf-483d-979d-887a2829eb48.COMGUSPBNYYPCQKX.SEARCH&ppt=sp&ppn=sp&ssid=5ky88ctz280000001728058150343&qH=312f91285e048e09,MICROSOFT Laptop Go 3 Intel Core i5 12th Gen 1235U - (8 GB/256 GB SSD/Windows 11 Home) XK1-00045 Thin ...,Intel Core i5 Processor (12th Gen)8 GB LPDDR5 RAMWindows 11 Operating System256 GB SSD31.5 cm (12.4 Inch) Touchscreen Display1 Year Onsite Warranty,4.219 Ratings & 2 Reviews,"₹69,990₹80,99913% off",Save extra with combo offers,13% off
17,https://www.flipkart.com/msi-thin-15-intel-core-i5-12th-gen-12450h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-144-hz-b12ucx-1696in-gaming-laptop/p/itmc1581367ea4e2?pid=COMGZW35SQXHBAUH&lid=LSTCOMGZW35SQXHBAUHXQTHLX&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_108&otracker=search&otracker1=search&fm=Search&iid=e4bab1fd-a4cf-483d-979d-887a2829eb48.COMGZW35SQXHBAUH.SEARCH&ppt=sp&ppn=sp&ssid=5ky88ctz280000001728058150343&qH=312f91285e048e09,MSI Thin 15 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,Intel Core i5 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,4.3542 Ratings & 50 Reviews,"₹42,990₹67,99036% off",Top Discount of the Sale,36% off
18,https://www.flipkart.com/lenovo-ideapad-slim-5-intel-core-i5-13th-gen-16-gb-512-gb-ssd-windows-11-home-82xd003min-thin-light-laptop/p/itmdee369858debc?pid=COMGTYDAGSWYRJGW&lid=LSTCOMGTYDAGSWYRJGWSCFB1Z&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_109&otracker=search&otracker1=search&fm=Search&iid=e4bab1fd-a4cf-483d-979d-887a2829eb48.COMGTYDAGSWYRJGW.SEARCH&ppt=sp&ppn=sp&ssid=5ky88ctz280000001728058150343&qH=312f91285e048e09,Lenovo IdeaPad Slim 5 Intel Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) 82XD003MIN Thin and ...,Intel Core i5 Processor (13th Gen)16 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 inch) Display1Yr Warranty + 1 Yr Premium Care and 1 Yr Accidental Damage Protection,4.419 Ratings & 0 Reviews,"₹65,190₹73,99011% off",Save extra with combo offers,11% off
19,https://www.flipkart.com/asus-vivobook-go-15-oled-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-e1504fa-lk322ws-thin-light-laptop/p/itma00c7ae7d7ce7?pid=COMGMGXFE9F37AMQ&lid=LSTCOMGMGXFE9F37AMQLGQ2YD&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_110&otracker=search&otracker1=search&fm=Search&iid=e4bab1fd-a4cf-483d-979d-887a2829eb48.COMGMGXFE9F37AMQ.SEARCH&ppt=sp&ppn=sp&ssid=5ky88ctz280000001728058150343&qH=312f91285e048e09,ASUS Vivobook Go 15 OLED AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK322...,AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,"4.42,495 Ratings & 273 Reviews","₹35,990₹61,99041% off",Top Discount of the Sale,41% off
